1.257466666666666733e+01,9.613929977601353150e-01,1.096806171471411018e+00
1.257133333333333347e+01,4.932008097316985529e-01,5.626686413867437730e-01
1.304633333333333312e+01,7.673407092376381966e-01,8.754214223256429062e-01
1.435033333333333339e+01,5.980654871314304843e-01,6.823036143991859648e-01
1.315600000000000058e+01,6.772168573342980391e-01,7.726035349531976681e-01
1.347866666666666546e+01,8.926768543904776143e-01,1.018411289978464085e+00
1.280000000000000071e+01,2.972745639976084320e-01,3.391459862654408464e-01
1.577533333333333232e+01,7.888898685340113293e-01,9.000058024504703491e-01
1.324899999999999878e+01,1.018354755493177111e+00,1.161791050251490542e+00
1.303899999999999793e+01,2.545294769046776429e-01,2.903802105287357493e-01
1.375933333333333408e+01,9.014269920964058658e-01,1.028393893408535487e+00
1.765833333333333499e+01,6.427498513245438749e-01,7.332818163722262250e-01
1.352333333333333165e+01,7.767712968721729450e-01,8.861803177432900913e-01
1.277366666666666717e+01,4.220304761612355127e-01,4.814738945271057058e-01
1.221300000000000097e+01,4.230870848733678247e-01,4.826793276423844703e-01
1.173599999999999888e+01,7.336660475781248136e-01,8.370036505960622986e-01
1.153366666666666696e+01,1.031405561513018654e+00,1.176680075466556508e+00
1.304300000000000104e+01,3.252109323842422572e-01,3.710172203251292933e-01
1.118133333333333290e+01,6.917102605764017254e-01,7.891383486647587375e-01
1.187466666666666626e+01,9.065505112654121955e-01,1.034239065421760584e+00
1.152333333333333343e+01,9.542380099092511170e-01,1.088643396362859006e+00
1.226533333333333431e+01,4.527929011614491017e-01,5.165692381256855592e-01
1.043133333333333290e+01,3.368760512711024835e-01,3.843253829764743390e-01
1.203599999999999959e+01,3.178607335017003543e-01,3.626317385141565319e-01
1.301333333333333542e+01,1.226464159661142084e+00,1.399212873964015058e+00
1.236933333333333351e+01,4.803831650672190645e-01,5.480456185391857638e-01
9.717333333333332490e+00,3.684552095679977102e-01,4.203524975805989494e-01
1.382233333333333292e+01,8.038074463949704818e-01,9.170245362039144421e-01
1.847666666666666657e+01,5.901426590616963841e-01,6.732648480022629389e-01
1.364600000000000080e+01,6.978545678737086977e-01,7.961480878440578834e-01
9.078333333333333144e+00,4.575096993264482492e-01,5.219504020711367431e-01
1.009233333333333427e+01,5.750956043727526446e-01,6.560984004789798263e-01
1.123500000000000121e+01,6.536919149296704923e-01,7.457650806758944206e-01
1.400033333333333374e+01,1.072473840451759308e+00,1.223532862928774501e+00
1.298566666666666869e+01,7.752832241989819906e-01,8.844826485327212939e-01
9.055666666666667197e+00,5.324819776939708760e-01,6.074826014883906167e-01
9.242999999999998550e+00,1.001649877245883058e+00,1.142733273049037823e+00
1.225133333333333141e+01,8.686279322958043725e-01,9.909750529431141652e-01
1.347933333333333294e+01,7.867731775578218345e-01,8.975909734146947372e-01
1.381533333333333324e+01,1.306473723088228844e+00,1.490491865123732884e+00
1.005699999999999861e+01,5.209876799226005328e-01,5.943693202789985808e-01
7.306666666666666643e+00,6.203571157897998234e-02,7.077350414447451665e-02
7.103666666666667240e+00,5.819783905572006866e-01,6.639506340417462571e-01
8.072333333333332916e+00,3.364325393696003808e-01,3.838194019761738685e-01
1.265000000000000036e+01,9.317678657977714884e-01,1.063008309782509375e+00
1.323200000000000287e+01,1.296450869364320191e+00,1.479057282340469071e+00
7.423666666666666636e+00,3.505221924944537104e-01,3.998935969591149164e-01
8.252333333333334409e+00,2.526527092714652700e-01,2.882390982808611390e-01
8.972666666666665236e+00,1.947384914072494422e-01,2.221676043991675786e-01
